
   NODE          X           Y           Z
               (mm)        (mm)        (mm)
     80      -600,0     17850,0      8870,0  SUPPORT
     82      -600,0     23850,0      8870,0  SUPPORT
     84      -600,0     29850,0      8870,0  SUPPORT
     86      -600,0     11850,0      8870,0  SUPPORT
     88      -600,0      5850,0      8870,0  SUPPORT
    134    168600,0     17850,0      8870,0  SUPPORT
    136    168600,0     23850,0      8870,0  SUPPORT
    138    168600,0     29850,0      8870,0  SUPPORT
    140    168600,0     11850,0      8870,0  SUPPORT
    142    168600,0      5850,0      8870,0  SUPPORT
    176         0,0       500,0      8870,0  SUPPORT
    177         0,0     35200,0      8870,0  SUPPORT
    179      6000,0       500,0      8870,0  SUPPORT
    180      6000,0     35200,0      8870,0  SUPPORT
    182     12000,0       500,0      8870,0  SUPPORT
    183     12000,0     35200,0      8870,0  SUPPORT
    185     18000,0       500,0      8870,0  SUPPORT
    186     18000,0     35200,0      8870,0  SUPPORT
    188     24000,0       500,0      8870,0  SUPPORT
    189     24000,0     35200,0      8870,0  SUPPORT
    191     30000,0       500,0      8870,0  SUPPORT
    192     30000,0     35200,0      8870,0  SUPPORT
    194     36000,0       500,0      8870,0  SUPPORT
    195     36000,0     35200,0      8870,0  SUPPORT
    197     48000,0       500,0      8870,0  SUPPORT
    198     48000,0     35200,0      8870,0  SUPPORT
    200     54000,0       500,0      8870,0  SUPPORT
    201     54000,0     35200,0      8870,0  SUPPORT
    202     66000,0       500,0      8870,0  SUPPORT
    203     66000,0     35200,0      8870,0  SUPPORT
    205     72000,0       500,0      8870,0  SUPPORT
    207     72000,0     35200,0      8870,0  SUPPORT
    209     78000,0     35200,0      8870,0  SUPPORT
    211     90000,0       500,0      8870,0  SUPPORT
    208     78000,0       500,0      8870,0  SUPPORT
    212     90000,0     35200,0      8870,0  SUPPORT
    214     96000,0       500,0      8870,0  SUPPORT
    215     96000,0     35200,0      8870,0  SUPPORT
    217    102000,0       500,0      8870,0  SUPPORT
    218    102000,0     35200,0      8870,0  SUPPORT
    220    108000,0       500,0      8870,0  SUPPORT
    221    108000,0     35200,0      8870,0  SUPPORT
    223    114000,0       500,0      8870,0  SUPPORT
    224    114000,0     35200,0      8870,0  SUPPORT
    226    120000,0       500,0      8870,0  SUPPORT
    227    120000,0     35200,0      8870,0  SUPPORT
    324    126000,0       500,0      8870,0  SUPPORT
    325    126000,0     35200,0      8870,0  SUPPORT
    330    132000,0       500,0      8870,0  SUPPORT
    331    132000,0     35200,0      8870,0  SUPPORT
    335    138000,0       500,0      8870,0  SUPPORT
    336    138000,0     35200,0      8870,0  SUPPORT
    342    144000,0       500,0      8870,0  SUPPORT
    343    144000,0     35200,0      8870,0  SUPPORT
    349    150000,0       500,0      8870,0  SUPPORT
    350    150000,0     35200,0      8870,0  SUPPORT
    356    156000,0       500,0      8870,0  SUPPORT
    357    156000,0     35200,0      8870,0  SUPPORT
    363    162000,0       500,0      8870,0  SUPPORT
    364    162000,0     35200,0      8870,0  SUPPORT
    370    168000,0       500,0      8870,0  SUPPORT
    371    168000,0     35200,0      8870,0  SUPPORT
    376     42000,0       500,0      8870,0  SUPPORT
    377     42000,0     35200,0      8870,0  SUPPORT
    384     83500,0       500,0      8870,0  SUPPORT
    385     83500,0     35200,0      8870,0  SUPPORT
    386     84500,0       500,0      8870,0  SUPPORT
    387     84500,0     35200,0      8870,0  SUPPORT
    388     60000,0       500,0      8870,0  SUPPORT
    389     60000,0     35200,0      8870,0  SUPPORT
